UUID,Void/Retire,Name,Description,Parent,Tag|Admission Location,Tag|Antenatal Location,Tag|Appointment Location,Tag|Archives Location,Tag|Consult Note Location,Tag|Delivery Location,Tag|Dispensing Location,Tag|ED Triage Location,Tag|Infant Program Dashboard Location,Tag|Labs Component Location,Tag|Lab Results Location,Tag|Maternal and Child Location,Tag|Maternal Admission Location,Tag|MCH Triage Location,Tag|Medical Record Location,Tag|Mental Health Location,Tag|NCD Consult Location,Tag|Newborn Admission Note Location,Tag|Newborn Assessment Location,Tag|Newborn Daily Progress Location,Tag|NICU Location,Tag|Postnatal Location,Tag|Pregnancy Program Dashboard Location,Tag|Queue Location,Tag|Registration Location,Tag|Transfer Location,Tag|Visit Location,Tag|Vitals Location,Tag|Vitals Glucose Location,_order:10
0561303b-9868-4a1d-933d-fe52ce1b8c9f,,Wellbody,Wellbody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6733150-7426-11e5-a837-0800200c9a66,,Wellbody Clinic,Wellbody Clinic,Wellbody,,,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,TRUE,,,TRUE,,
dac348b7-2ece-47ad-b80a-140fc6788706,,Wellbody MCH,Wellbody MCH,Wellbody,,,,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,TRUE,,TRUE,,,,TRUE,
93b8750b-b986-4023-a533-6116477f7936,TRUE,Wellbody GAIN,Wellbody GAIN (nursing),Wellbody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a17bfc6-4032-4784-98cd-59d819c03b43,,Wellbody NCD,Wellbody Non-communicate disease clinic,Wellbody,,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
7b959d2f-11f3-4611-b2e4-7002006c5aa6,,Wellbody Mental Health,Wellbody Mental Health clinic,Wellbody,,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,
1fadef30-c980-49bc-91ab-041f5cfd3b7c,,Wellbody Laboratory,Wellbody Laboratory,Wellbody,,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,
6a7fc2e7-282c-4d25-b19c-777731928457,,Wellbody Pharmacy,Wellbody Pharmacy,Wellbody,,,,TRUE,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,
${location.kgh.uuid},,KGH,KGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bcb9215-8cd6-11eb-b7be-0242ac110002,,KGH Triage,KGH Triage,KGH,,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,
5981f962-6eec-453d-89ce-2f9ac48d096f,,KGH MCH,KGH Maternal Child Health,KGH,,,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,
7b959d2f-11f3-4611-b2e4-700200625d61,,KGH NCD,KGH Non-communicate disease clinic,KGH,,,,TRUE,,,TRUE,,,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,
7b959d2f-11f3-4611-b2e4-700200629a66,,KGH Mental Health,KGH Mental Health clinic,KGH,,,,TRUE,,,TRUE,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,
0d3704ab-17f7-4272-aa1b-9118ae51acce,,KGH Laboratory,KGH Laboratory,KGH,,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,
8947193b-92f0-4577-a66d-43d4a64c49b7,,KGH Pharmacy,KGH Pharmacy,KGH,,,,TRUE,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,
067c83ad-6850-11ee-ab8d-0242ac120002,,MCOE,Maternal Center of Excellence,KGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f85feffc-fe54-4648-aa14-01ed6d30b943,,MCOE Triage,MCOE Triage,MCOE,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,TRUE,,
11377a5b-6850-11ee-ab8d-0242ac120002,,Labour and Delivery,Labour and Delivery,MCOE,TRUE,TRUE,TRUE,,,TRUE,,,TRUE,,,,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,TRUE,,TRUE,,
4d7e927d-6850-11ee-ab8d-0242ac120002,,MCCU,MCCU,MCOE,TRUE,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,
0ce2f6fb-6850-11ee-ab8d-0242ac120002,,NICU,Newborn Intensive Care Unit,MCOE,TRUE,,TRUE,,,,,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,,TRUE,,
11f5c9f9-40b8-46ad-9e7e-59473ce43246,,Antenatal Ward,Antenatal Ward,MCOE,TRUE,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,TRUE,,TRUE,,
17596678-6850-11ee-ab8d-0242ac120002,,Obstetric Post-Op,Obstetric Post-Op,MCOE,TRUE,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,
142de844-6850-11ee-ab8d-0242ac120002,,Obstetric Surgery,Obstetric Surgery,MCOE,TRUE,,TRUE,,,TRUE,,,TRUE,,,,TRUE,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,
28660b7f-3450-4b86-b840-9670ec68235f,,Loss Ward,Loss Ward,MCOE,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,
ff0d5e73-3fe0-437f-90ba-7d605ac03dc0,,Postnatal Ward,Postnatal Ward,MCOE,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,
